ecole,addr
tt,test
IHB Art Media," 47, bd Mohammed V, 1°ét., Centre Ville, 20000  CASABLANCA"
Institut Scolaire les Palmiers,"76, rue Abdelhamid Bnou Badis "
Institut Specialisé  privé    de Santé,"65, rue Jabal Azourki "
Institution Abdelmoumen,"2, avenue des Pléiades, Franceville"
Institution Abdou,"54, bd Oued Drâa (El Oulfa) "
Institution Addoha,"7, rue Mohamed Souktani ex Bapaume "
Institution Agdal Casablanca,"7, rue Ahmed Kadmiri -ex Albert Samain "
Institution AlAfaq,"cité Chabab, grp. 10 n°1"
Institution AlAlaa,"avenue Lhoussine Assoussi, cplxe AlAlaa imm.C n°3"
Institution Alfarabi,"3, rue Franklin "
Institution AlHikma,"24, rue Amyot, q. les Hôpitaux"
Institution AlIfada  Privée,"21, bd Oulad Haddou, Krimat"
Institution Alirfane,"lotiss. Mandarona, rue 25"
Institution AlManbat,"253, bd Oued Oum Errabia "
Institution An'nasr,"hay Omar Ibn Khattab, rue 17"
Institution Belkhir,"bd Mohamed Jamal Addorra, résid. El Hamd rue 3, n°153 z.i."
Institution Boudour,"lotiss. Badr -ex Vermont, rue 9 n°13"
Institution Chems,"6, rue Ibn Zanbaa -ex Neufchatel "
Institution Chniber,"69, avenue Mohamed Sijelmassi -ex Phare "
Institution Chniber 2,"rue Jabal Aroui, hay Salam"
ets AlFaihaa  Privé,"367, avenue Khalifa Ben Ismaïl, hay Rahma"
ets Badr Eddine,"hay Raja I (Bournazel) rue 9, n°101"
ets Bilal secondaire,"hay Anigrit (h. Rmila), rue 22 n°12"
Ets Casa Mode  Privé,"117, bd Ahmed Ben Bassou -ex K (Sidi Bernoussi) "
Ets Elakhiar  Privé,"348, avenue du Cdt Driss Lharti - ex A "
ets Fathi,"hay Laalou, rue 1 n°74"
Ets Firdaous Ennour,"bd Smara, lot. Salima"
Fadaa AlMaarifa  Privé,"44, rue de l' Imam El Aouzai, Maârif"
Fédération Marocaine de l' Enseignement    Professionnel  Privé    (FMPE),"15, rue de Champigny "
Fondation Tayeb Saddiki,"515, bd Ghandi "
Gdgsr,"9, avenue du Deux Mars "
Gestion Déléguée Groupe Elbilia  Privé,"3, rue Zemamra -ex Carqueirane ang. bd Driss Slaoui"
Group Scolaire Les Crêtes,"573, bd Modibo Keita "
Groupe  Scolaire   Deux Villes   Prive,el khyaita route d'el jadida Km 22
Groupe  Scolaire Benjelloun ( Privé   ),Lot Al Hadika Res Chella
Groupe Charles Peguy  Privé,"14, rue Rouissi "
Groupe Institut Californie,"1, bd Panoramique, q. Californie"
Groupe Institut Californie,"2, bd Panoramique, q. Californie"
Groupe Scolaire  Grand  Maghreb   Prive    (GSGM),Bd Maati Bouaabid 
Groupe Scolaire Achbal El Amal,"266, bd de la Grande Ceinture (h.Mohammadi) "
Ecole Neve Shalom,"140, rue Taha Houcine -ex Galilée "
Ecole Nore Al Maarifa,"300, lotiss. Lina "
Ecole Notre Dame,"23, avenue Tizi Ousli "
Ecole Omar AlImam,"247, rue Abdelhamid Bnou Badis "
Ecole Omar ElIdrissi,"28, rue Omar El Idrissi "
Ecole Oulad Aharou,"douar Ouled Mellouk, Lahraouine"
Ecole Oum AlFade,"hay El Qods, grp. 107 n°20"
Ecole Oum Aymane,"99, lot. Dalila I "
Ecole Ouzoud,"hay El Osra, Lotiss. Dar Chaoui n°64"
Ecole Palais Mode  Privée    de Coiffure,"hay Moulay Abdallah, rue 46 n°17/19"
Ecole para médicale  privée    de casablanca (Epmc),"221, bd Mohammed V, 2°ét et 3°ét"
Ecole Paul Bert,"45, bd El Hachemi El Filali "
Ecole Paul Eluard,"8, rue des Flamants "
Ecole Pédago Junior,"bd El Qods, lot. Lhamra, Ain Chock"
Ecole Point Virgule,bd Driss Slaoui -ex Témara 
Ecole  Privé    Azzouzi,"hay El Oulfa, rue 110 n°39"
Ecole  privée    AlGhazi ElIdrissi,"lotiss. Alhouda, rue 6 n°3"
Ecole  Privée    Fatima Zahra,"203, bd Oued Sebou "
Ecole  Privée    Internationale des Métiers de l'hôtellerie et du Tourisme (Epimot),"21, rue des Moineaux "
Ecole  privée    parisienne de coiffure et d'esthétique (Vogue (école)),"24, bd Mohammed V 3°ét."
Institut Al Forkane,"lot Espérance II (Ain Sebaâ), rue 10 n° 149"
Institut Al Houda,"14, avenue Mohamed Bouziane, résid. Alhouda lotiss. Meriem"
Institut Al Jil Al Jadid  Privé,"1, bd Tah, lotiss. Blad Omrane"
Institut Al Makkari 1,"32, rue Ennasrine-ex Glaieuls "
Institut AlAnjal,"lot. Elhamra, rue 12 hay Chrifa"
Institut AlHakim,"bd Modibo Keita, Bagatelle"
Institut Alkhalil,"223, bd Bir Anzarane, Maârif"
Institut Amana,"hay Rahma, rue 22 n°19"
Institut Bab AlAndalousse,"634, bd El Qods ang. rue 12 hay Chrifa"
Institut Baraim Alouma,"hay Mino, rue 1 n°61, hay Mohammadi"
Institut Cadi Ayad,"22, bd de la Grande Ceinture (A.Sebaa) "
Institut Central de Formation  Privé    (I.c.f.p. Paramédical Privé),"Passage Tazi (7 av. Hassan II), escalier D 2°ét."
Institut Chafira,"72, av. de l' Ermitage "
