ecole,addr,lycee,groupe_scolaire,institut
IHB Art Media," 47, bd Mohammed V, 1°ét., Centre Ville, 20000  CASABLANCA",0,0,0
Institut Scolaire les Palmiers,"76, rue Abdelhamid Bnou Badis ",0,0,1
Institut Specialisé  privé    de Santé,"65, rue Jabal Azourki ",0,0,1
Institution Abdelmoumen,"2, avenue des Pléiades, Franceville",0,0,1
Institution Abdou,"54, bd Oued Drâa (El Oulfa) ",0,0,1
Institution Addoha,"7, rue Mohamed Souktani ex Bapaume ",0,0,1
Institution Agdal Casablanca,"7, rue Ahmed Kadmiri -ex Albert Samain ",0,0,1
Institution AlAfaq,"cité Chabab, grp. 10 n°1",0,0,1
Institution AlAlaa,"avenue Lhoussine Assoussi, cplxe AlAlaa imm.C n°3",0,0,1
Institution Alfarabi,"3, rue Franklin ",0,0,1
Institution AlHikma,"24, rue Amyot, q. les Hôpitaux",0,0,1
Institution AlIfada  Privée,"21, bd Oulad Haddou, Krimat",0,0,1
Institution Alirfane,"lotiss. Mandarona, rue 25",0,0,1
Institution AlManbat,"253, bd Oued Oum Errabia ",0,0,1
Institution An'nasr,"hay Omar Ibn Khattab, rue 17",0,0,1
Institution Belkhir,"bd Mohamed Jamal Addorra, résid. El Hamd rue 3, n°153 z.i.",0,0,1
Institution Boudour,"lotiss. Badr -ex Vermont, rue 9 n°13",0,0,1
Institution Chems,"6, rue Ibn Zanbaa -ex Neufchatel ",0,0,1
Institution Chniber,"69, avenue Mohamed Sijelmassi -ex Phare ",0,0,1
Institution Chniber 2,"rue Jabal Aroui, hay Salam",0,0,1
ets AlFaihaa  Privé,"367, avenue Khalifa Ben Ismaïl, hay Rahma",0,0,0
ets Badr Eddine,"hay Raja I (Bournazel) rue 9, n°101",0,0,0
ets Bilal secondaire,"hay Anigrit (h. Rmila), rue 22 n°12",0,0,0
Ets Casa Mode  Privé,"117, bd Ahmed Ben Bassou -ex K (Sidi Bernoussi) ",0,0,0
Ets Elakhiar  Privé,"348, avenue du Cdt Driss Lharti - ex A ",0,0,0
ets Fathi,"hay Laalou, rue 1 n°74",0,0,0
Ets Firdaous Ennour,"bd Smara, lot. Salima",0,0,0
Fadaa AlMaarifa  Privé,"44, rue de l' Imam El Aouzai, Maârif",0,0,0
Fédération Marocaine de l' Enseignement    Professionnel  Privé    (FMPE),"15, rue de Champigny ",0,0,0
Fondation Tayeb Saddiki,"515, bd Ghandi ",0,0,0
Gdgsr,"9, avenue du Deux Mars ",0,0,0
Gestion Déléguée Groupe Elbilia  Privé,"3, rue Zemamra -ex Carqueirane ang. bd Driss Slaoui",0,1,0
Group Scolaire Les Crêtes,"573, bd Modibo Keita ",0,0,0
Groupe  Scolaire   Deux Villes   Prive,el khyaita route d'el jadida Km 22,0,1,0
Groupe  Scolaire Benjelloun ( Privé   ),Lot Al Hadika Res Chella,0,1,0
Groupe Charles Peguy  Privé,"14, rue Rouissi ",0,1,0
Groupe Institut Californie,"1, bd Panoramique, q. Californie",0,1,0
Groupe Institut Californie,"2, bd Panoramique, q. Californie",0,1,0
Groupe Scolaire  Grand  Maghreb   Prive    (GSGM),Bd Maati Bouaabid ,0,1,0
Groupe Scolaire Achbal El Amal,"266, bd de la Grande Ceinture (h.Mohammadi) ",0,1,0
Ecole Neve Shalom,"140, rue Taha Houcine -ex Galilée ",0,0,0
Ecole Nore Al Maarifa,"300, lotiss. Lina ",0,0,0
Ecole Notre Dame,"23, avenue Tizi Ousli ",0,0,0
Ecole Omar AlImam,"247, rue Abdelhamid Bnou Badis ",0,0,0
